id,movie_title,reviewer_name,review_date,rating,review,sentiment_to_num
1,The Lion King,baileydavid,2021-10-04,2.0,Not worth the hype.,0
2,The Godfather,samanthaturner,2024-07-10,3.0,Terrible acting.,0
3,The Lion King,drodriguez,2015-12-31,7.7,A must-watch.,1
4,Titanic,andrea31,2023-08-20,6.3,Absolutely loved it!,1
5,Inception,paula97,2015-10-19,1.8,Disappointing plot.,0
6,Interstellar,christophercaldwell,2021-09-25,6.4,A must-watch.,1
7,The Godfather,curtisbrianna,2017-08-26,7.4,A must-watch.,1
8,Pulp Fiction,nicholasolson,2024-12-24,3.0,Felt too long and dragging.,0
9,The Dark Knight,sheryl94,2016-07-19,8.3,Absolutely loved it!,1
10,Joker,tanyahernandez,2023-06-28,8.3,An emotional rollercoaster.,1
11,Forrest Gump,lisajohnson,2015-12-10,3.5,Disappointing plot.,0
12,Joker,gmcdonald,2019-04-12,4.0,Terrible acting.,0
13,Pulp Fiction,christopherboyer,2020-10-10,1.9,Poor direction and editing.,0
14,Gladiator,gferguson,2023-03-12,3.4,Boring and predictable.,0
15,Avengers: Endgame,jamesmontgomery,2016-09-03,5.1,Terrible acting.,0
16,Coco,annethomas,2020-02-27,4.4,Couldn’t connect with the story.,0
17,The Dark Knight,brandymarquez,2020-11-01,8.5,Impressive visuals and great soundtrack.,1
18,Coco,angela55,2016-10-13,8.8,Impressive visuals and great soundtrack.,1
19,The Godfather,thomasjohn,2024-11-07,7.3,Absolutely loved it!,1
20,The Lion King,jonessabrina,2019-06-09,3.1,Not worth the hype.,0
21,Titanic,collinsfrank,2019-12-25,8.7,A masterpiece!,1
22,Pulp Fiction,kellypatrick,2019-05-05,3.5,Poor direction and editing.,0
23,The Shawshank Redemption,luke97,2021-07-10,4.3,Disappointing plot.,0
24,The Lion King,donna19,2020-05-23,3.4,Terrible acting.,0
25,Gladiator,tinarodriguez,2019-06-01,6.7,A must-watch.,1
26,Avengers: Endgame,william37,2021-03-04,3.2,Uninspiring and dull.,0
27,Pulp Fiction,xmathis,2023-09-30,3.4,Couldn’t connect with the story.,0
28,The Godfather,kelseydavis,2020-04-12,7.2,Absolutely loved it!,1
29,The Godfather,melissawhitney,2023-10-03,8.4,Loved every moment.,1
30,Pulp Fiction,johnsonvictor,2020-06-07,3.4,Disappointing plot.,0
31,Coco,vramirez,2019-07-22,9.5,Loved every moment.,1
32,The Godfather,allison69,2022-06-26,6.9,An emotional rollercoaster.,1
33,Coco,dluna,2020-10-23,9.2,Highly recommended!,1
